BOFEK2012,Opp-Aandeel (%) ,Bodem-nr,Eenheid,Gebruik,Laag_nr,Hor_code,Diepte_b,Diepte_o,Orgstof,Orgstof_p10,Orgstof_p90,Lutum (<2),lutum_p10,Lutum_p90,Silt (2-50),Leem (<50),Leem_p10,Leem_p90,M50,M50_p10,M50_p90,pH-KCl,pH_p10,pH_p90,CaC03,Dichtheid,Materiaal,A=0 of 1,Staring bouwsteen,Opmerking,
301,82,4140,Hd21,B,5,1Cy,50,120,0.3,0.1,1.0,2,1,4,4,6,5,15,180,150,200,4.6,4.0,4.8,0.0,1.66771993,410,0,O1,,
302,68,10240,Zd21,B,1,1Ah,0,6,3.0,1.0,10.0,2,1,4,3,5,4,10,170,150,200,3.4,3.0,4.4,0.0,1.47333696,450,1,B1,,
302,68,10240,Zd21,B,2,1Eu,6,10,1.2,0.3,2.0,2,1,4,3,5,4,10,170,150,200,3.4,3.0,4.4,0.0,1.629696032,450,0,O1,,
302,68,10240,Zd21,B,3,1Bhe,10,15,1.8,0.5,3.0,2,1,4,3,5,4,10,170,150,200,4.2,3.5,4.8,0.0,1.600893014,450,0,O1,,
302,68,10240,Zd21,B,4,1Cu,15,120,0.2,0.2,1.5,2,1,4,3,5,4,10,170,150,200,4.5,4.0,5.0,0.0,1.680075459,450,0,O1,,
303,83,10190,kZn21,G,1,1Apg,0,15,6.0,1.0,10.0,20,8,30,15,35,20,60,170,150,180,4.9,4.6,5.5,0.0,1.267537593,340,1,B9,,
303,83,10190,kZn21,G,2,1Cg,15,35,1.8,0.5,5.0,18,8,30,12,30,20,60,170,150,180,4.9,4.6,5.5,0.0,1.445660623,340,0,O10,,
303,83,10190,kZn21,G,3,2Cu,35,120,0.3,0.1,2.0,3,2,6,4,7,4,14,160,130,180,5.0,4.6,5.5,0.0,1.674983132,410,0,O1,,
304,99,4010,Hn21,A,1,1Ap,0,25,5.4,2.0,7.0,3,2,4,10,13,6,16,160,130,200,4.8,4.2,5.2,0.0,1.375228028,410,1,B2,,
304,99,4010,Hn21,A,2,1Bhe,25,40,2.2,0.8,5.0,3,2,4,8,11,6,16,160,130,200,4.5,4.0,5.0,0.0,1.575905892,410,0,O2,,
304,99,4010,Hn21,A,3,1BCe,40,60,1.0,0.4,2.0,3,2,4,8,11,6,16,160,130,200,4.5,4.0,5.0,0.0,1.63271795,410,0,O2,,
304,99,4010,Hn21,A,4,1Cg,60,120,0.3,0.1,1.0,3,2,4,6,9,6,20,160,130,200,4.7,4.5,5.0,0.0,1.671778806,410,0,O1,,
305,60,4020,Hn21g,G,1,1Ap,0,25,5.0,2.0,8.0,3,2,4,8,11,6,16,170,150,200,4.8,4.2,5.2,0.0,1.390889605,410,1,B2,,
305,60,4020,Hn21g,G,2,1Bhe,25,35,2.4,0.8,5.0,2,1,4,7,9,6,16,170,150,200,4.5,4.0,5.0,0.0,1.568150436,410,0,O1,,
305,60,4020,Hn21g,G,3,1BCe,35,55,1.0,0.4,2.0,2,1,4,7,9,6,16,170,140,200,4.5,4.0,5.0,0.0,1.634163373,410,0,O1,,
305,60,4020,Hn21g,G,4,1Cg1,55,90,0.3,0.1,1.0,2,1,4,7,9,6,16,170,140,200,4.7,4.0,5.0,0.0,1.669298815,410,0,O1,,
305,60,4020,Hn21g,G,5,1Cg2,90,120,0.3,0.1,1.0,2,1,4,5,7,4,12,250,200,500,4.7,4.0,5.0,0.0,1.576362957,410,0,O5,,
306,82,4031,Hn21t,G,1,1Ap,0,20,5.7,2.0,10.0,3,2,8,9,12,6,16,170,150,200,4.8,4.2,5.2,0.0,1.364876911,410,1,B2,,
306,82,4031,Hn21t,G,2,1Bhe,20,40,2.2,0.8,5.0,3,2,8,9,12,6,16,170,150,200,4.4,4.2,5.0,0.0,1.571667732,410,0,O2,,
306,82,4031,Hn21t,G,3,1BC,40,50,0.8,0.4,2.0,3,2,8,9,12,6,16,170,150,200,4.4,4.2,5.0,0.0,1.637983391,410,0,O2,,
306,82,4031,Hn21t,G,4,1Cg,50,100,0.3,0.1,1.0,3,2,8,12,15,6,30,150,130,200,4.6,4.2,5.0,0.0,1.655422582,410,0,O2,,
306,82,4031,Hn21t,G,5,2Cg,100,120,0.3,0.1,2.0,15,8,30,40,55,45,90,130,100,150,4.7,4.2,5.0,0.0,1.559165957,420,0,O14,,
307,49,4040,kHn21,G,1,1Ap,0,20,8.0,3.0,12.0,13,8,35,22,35,25,50,155,130,180,5.4,4.5,6.5,0.0,1.213312679,410,1,B8,,
307,49,4040,kHn21,G,2,1Cg,20,35,3.0,1.0,6.0,18,8,35,22,40,25,50,155,130,180,5.4,4.5,7.0,0.0,1.403023799,410,0,O9,,
307,49,4040,kHn21,G,3,2Ahb,35,45,7.0,2.0,12.0,4,2,8,10,14,6,25,155,130,180,5.0,4.2,6.0,0.0,1.377970234,410,0,O2,,
307,49,4040,kHn21,G,4,2Bheb,45,70,0.8,0.3,3.0,3,2,6,5,8,4,25,160,130,180,5.0,4.2,5.5,0.0,1.648105326,410,0,O1,,
307,49,4040,kHn21,G,5,2Cu,70,120,0.3,0.1,1.0,2,2,4,6,8,4,25,160,130,180,5.0,4.2,5.5,0.0,1.673479576,410,0,O1,,
308,66,4041,kHn21x,G,1,1Ap,0,20,8.0,3.0,12.0,13,8,35,22,35,25,50,155,130,180,5.4,4.5,6.5,0.0,1.213312679,340,1,B8,,
308,66,4041,kHn21x,G,2,1Cg,20,35,3.0,1.0,6.0,18,8,35,22,40,25,50,155,130,180,5.4,4.5,7.0,0.0,1.403023799,340,0,O9,,
308,66,4041,kHn21x,G,3,2Ahb,35,45,7.0,2.0,12.0,4,2,8,10,14,6,25,155,130,180,5.0,4.2,6.0,0.0,1.377970234,410,0,O2,,
308,66,4041,kHn21x,G,4,2Bheb,45,70,0.8,0.3,3.0,3,2,6,5,8,4,25,160,130,180,5.0,4.2,5.5,0.0,1.648105326,410,0,O1,,
308,66,4041,kHn21x,G,5,2Cg,70,100,0.3,0.1,1.0,2,2,4,6,8,4,25,160,130,180,5.0,4.2,5.5,0.0,1.673479576,410,0,O1,,
308,66,4041,kHn21x,G,6,3Cg,100,120,0.3,0.1,1.0,15,10,25,20,35,30,50,170,150,200,5.0,4.2,5.5,0.0,1.559165957,510,0,O6,,
309,62,10010,pZg21,G,1,1Aap,0,20,5.5,3.0,8.0,4,3,6,10,14,8,18,170,150,200,4.8,4.5,5.2,0.0,1.368276711,692,1,B2,,
309,62,10010,pZg21,G,2,1ACg,20,30,2.5,1.0,5.0,4,3,6,10,14,8,16,170,150,200,5.0,4.8,6.0,0.0,1.480064302,410,1,B2,,
309,62,10010,pZg21,G,3,1Cg1,30,60,0.8,0.1,2.0,4,2,6,10,14,8,35,170,150,200,5.2,5.0,6.0,0.0,1.633009468,410,0,O2,,
309,62,10010,pZg21,G,4,1Cg2,60,120,0.3,0.1,2.0,3,2,6,6,9,6,35,170,150,200,5.6,5.0,6.0,0.0,1.669298815,410,0,O1,,
310,57,4090,cHn21,A,1,1Aap,0,25,4.4,3.0,7.0,4,2,6,7,11,8,16,160,140,180,4.7,4.5,5.0,0.0,1.414355824,692,1,B2,,
310,57,4090,cHn21,A,2,1Ahb,25,40,3.9,3.0,6.0,4,2,6,7,11,8,16,160,140,180,4.6,4.5,5.0,0.0,1.433002153,410,1,B2,,
310,57,4090,cHn21,A,3,1Bhb,40,60,1.4,0.5,3.0,3,1,4,5,8,6,16,160,140,180,4.5,4.0,5.0,0.0,1.618653787,410,0,O1,,
310,57,4090,cHn21,A,4,1BCb,60,75,0.6,0.3,1.0,3,1,4,5,8,6,16,160,140,180,4.6,4.0,5.0,0.0,1.658162125,410,0,O1,,
310,57,4090,cHn21,A,5,1Cu,75,120,0.3,0.1,1.0,3,1,4,5,8,6,16,160,140,180,4.7,4.0,5.0,0.0,1.673479576,410,0,O1,,
311,82,8060,zEZ21,A,1,1Aap,0,25,4.8,3.0,7.0,4,3,6,10,14,8,18,160,140,180,4.4,4.2,5.0,0.0,1.394549097,692,1,B2,,
311,82,8060,zEZ21,A,2,1Aa,25,75,4.8,3.0,7.0,4,3,6,8,12,8,18,160,140,180,4.2,4.0,4.8,0.0,1.398174833,692,1,B2,,
311,82,8060,zEZ21,A,3,1Ahb,75,90,3.9,2.0,7.0,4,3,6,8,12,6,18,160,140,180,4.2,4.0,4.8,0.0,1.431315183,410,1,B2,,
311,82,8060,zEZ21,A,4,1Bhs,90,105,1.7,0.5,5.0,3,2,6,7,10,6,18,160,140,180,4.4,4.0,4.8,0.0,1.601012614,410,0,O2,,
311,82,8060,zEZ21,A,5,1Cu,105,120,0.3,0.1,1.0,3,2,6,5,8,6,18,160,140,180,4.7,4.0,5.0,0.0,1.673479576,410,0,O1,,
312,44,4050,Hn23,G,1,1Ap,0,20,5.5,3.0,10.0,4,3,8,18,22,12,35,150,130,170,5.0,4.5,5.5,0.0,1.349496332,410,1,B3,,
312,44,4050,Hn23,G,2,1Bhe,20,40,3.5,0.8,7.0,4,3,8,16,20,12,35,150,130,170,4.5,4.2,5.0,0.0,1.494291735,410,0,O3,,
312,44,4050,Hn23,G,3,1BCe,40,55,1.1,0.4,3.0,4,3,8,14,18,12,35,150,130,170,4.6,4.2,5.0,0.0,1.606850054,410,0,O3,,
312,44,4050,Hn23,G,4,1Cg,55,120,0.3,0.1,1.0,3,2,8,11,14,8,35,150,120,170,4.6,4.0,5.0,0.0,1.658269399,410,0,O2,,
313,82,10030,pZg23,G,1,1Aap,0,20,5.2,3.0,10.0,6,4,8,17,23,15,35,150,130,180,5.0,4.6,5.2,0.0,1.418225665,692,1,B3,,
313,82,10030,pZg23,G,2,1ACg,20,30,2.4,1.0,5.0,6,4,8,17,23,15,35,150,130,180,5.0,4.6,5.5,0.0,1.458605353,410,1,B3,,
313,82,10030,pZg23,G,3,1Cg1,30,60,0.4,0.1,2.0,4,2,8,14,18,10,35,150,130,180,5.2,4.6,5.5,0.0,1.640808604,410,0,O3,,
313,82,10030,pZg23,G,4,1Cg2,60,120,0.3,0.1,2.0,3,2,6,8,11,6,35,160,130,180,5.6,4.6,7.0,0.0,1.667790597,410,0,O2,,
314,37,10061,pZg23t,G,1,1Aap,0,20,5.5,3.0,10.0,7,4,10,18,25,15,35,140,130,180,5.0,4.6,5.2,0.0,1.335203964,692,1,B3,,
314,37,10061,pZg23t,G,2,1ACg,20,30,2.4,1.0,5.0,7,4,10,18,25,15,35,140,130,180,5.0,4.6,5.5,0.0,1.51535989,410,0,O3,,
314,37,10061,pZg23t,G,3,1Cg1,30,50,0.4,0.1,2.0,7,4,10,18,25,15,35,140,130,180,5.0,4.6,5.5,0.0,1.604855022,410,0,O3,,
314,37,10061,pZg23t,G,4,1Cg2,50,90,0.3,0.1,2.0,5,4,8,17,22,10,35,140,130,180,5.0,4.6,5.5,0.0,1.622778397,410,0,O3,,
314,37,10061,pZg23t,G,5,2Cg,90,120,0.3,0.1,2.0,12,6,18,58,70,45,85,120,100,150,5.3,4.6,6.0,0.0,1.588704831,430,0,O14,,
315,63,4070,Hn23x,G,1,1Ap,0,20,5.9,3.0,12.0,5,3,8,19,24,12,35,150,130,180,5.0,4.5,5.5,0.0,1.330376129,410,1,B3,,
315,63,4070,Hn23x,G,2,1Bhe,20,40,3.8,0.8,12.0,5,3,8,19,24,12,35,150,130,180,4.5,4.2,5.0,0.0,1.468370295,410,0,O3,,
315,63,4070,Hn23x,G,3,1BCe,40,50,0.8,0.3,2.0,5,3,8,19,24,12,35,150,130,180,4.3,4.0,5.0,0.0,1.597885359,410,0,O3,,
315,63,4070,Hn23x,G,4,1Cg,50,90,0.3,0.1,1.0,5,3,8,9,14,8,35,170,150,180,4.3,4.0,5.0,0.0,1.657917502,410,0,O2,,
315,63,4070,Hn23x,G,5,2Cg,90,120,0.3,0.1,1.0,16,12,25,21,37,30,50,170,150,200,4.3,3.8,5.0,0.0,1.549562258,510,0,O6,,
316,57,10080,kpZg23,G,1,1Apg,0,15,8.0,4.0,15.0,13,8,30,22,35,30,60,150,130,180,5.2,4.8,6.0,0.0,1.213312679,340,1,B8,,
316,57,10080,kpZg23,G,2,1Cg,15,30,2.0,1.0,5.0,18,8,30,26,44,30,60,150,130,180,5.2,4.8,6.0,0.0,1.438486813,340,0,O10,,
316,57,10080,kpZg23,G,3,2Cg1,30,60,0.4,0.1,2.0,4,2,8,18,22,10,35,150,130,180,5.2,4.6,5.5,0.0,1.625547879,410,0,O3,,
316,57,10080,kpZg23,G,4,2Cg2,60,120,0.3,0.1,2.0,3,2,6,10,13,6,35,160,130,180,5.8,4.6,7.0,0.0,1.663029793,410,0,O2,,
317,70,8090,zEZ23,A,1,1Aap,0,25,5.0,3.0,7.0,4,3,8,17,21,15,35,150,130,180,4.6,4.2,5.0,0.0,1.369338679,692,1,B3,,
317,70,8090,zEZ23,A,2,1Aa,25,70,4.5,3.0,7.0,4,3,8,15,19,15,35,150,130,180,4.4,4.0,4.8,0.0,1.392333513,692,1,B3,,
317,70,8090,zEZ23,A,3,1Ahb,70,90,3.3,2.0,7.0,4,3,8,15,19,15,35,150,130,180,4.4,4.0,4.8,0.0,1.436495291,410,1,B3,,
317,70,8090,zEZ23,A,4,1Bhs,90,110,1.6,0.5,5.0,4,3,8,15,19,15,35,150,130,180,4.4,4.0,4.8,0.0,1.580131491,410,0,O3,,
317,70,8090,zEZ23,A,5,1Cu,110,120,0.3,0.1,1.0,4,3,8,15,19,10,35,150,130,180,4.8,4.0,5.0,0.0,1.642201357,410,0,O3,,
318,84,8101,zEZ23t,G,1,1Aap,0,25,6.0,4.0,10.0,5,3,10,23,28,15,40,150,130,180,4.4,4.0,5.0,0.0,1.314155072,692,1,B3,,
318,84,8101,zEZ23t,G,2,1Aa,25,60,5.0,3.0,8.0,5,3,10,23,28,15,40,150,130,180,4.2,3.9,4.8,0.0,1.346719356,692,1,B3,,
318,84,8101,zEZ23t,G,3,1Ahb,60,75,3.6,2.0,8.0,5,3,10,20,25,15,40,150,130,180,4.2,3.9,4.8,0.0,1.406273229,410,1,B3,,
318,84,8101,zEZ23t,G,4,1Bhb,75,90,1.3,0.3,5.0,5,3,10,20,25,10,40,150,130,180,4.3,3.9,4.8,0.0,1.570402647,410,0,O3,,
318,84,8101,zEZ23t,G,5,2Cg,90,120,0.3,0.1,1.0,12,8,20,43,55,45,85,120,100,150,4.3,3.9,4.8,0.0,1.588704831,420,0,O14,,
319,61,4130,cHn23x,G,1,1Aap,0,25,5.6,3.0,10.0,5,3,8,19,24,15,35,150,130,180,4.7,4.5,5.2,0.0,1.340218258,692,1,B3,,
319,61,4130,cHn23x,G,2,1Ahb,25,40,5.0,3.0,10.0,5,3,8,19,24,15,35,150,130,180,4.6,4.5,5.2,0.0,1.36034595,410,1,B3,,
319,61,4130,cHn23x,G,3,1Bhb,40,55,1.8,0.5,5.0,5,3,8,16,21,15,35,150,130,180,4.5,4.2,5.0,0.0,1.563967381,410,0,O3,,
319,61,4130,cHn23x,G,4,1Cg,55,85,0.4,0.1,1.0,5,3,8,16,21,15,35,150,130,180,4.4,4.2,5.0,0.0,1.629621235,410,0,O3,,
319,61,4130,cHn23x,G,5,2Cg,85,120,0.2,0.1,1.0,17,12,25,18,35,30,45,170,150,200,4.3,4.0,5.0,0.0,1.557647658,510,0,O6,,
320,34,4160,gHd30,B,1,1Ah,0,8,6.8,2.0,12.0,2,1,4,6,8,5,15,250,200,400,3.2,2.9,4.0,0.0,1.271442772,410,1,B5,,
320,34,4160,gHd30,B,2,1Eu,8,15,2.3,0.5,5.0,2,1,4,6,8,5,15,250,200,400,3.3,3.0,4.0,0.0,1.488741979,410,0,O5,,
320,34,4160,gHd30,B,3,1Bhs,15,30,4.7,1.0,12.0,2,1,4,6,8,5,15,250,200,400,4.3,4.0,4.8,0.0,1.39690544,410,0,O5,,
320,34,4160,gHd30,B,4,1BCy,30,60,0.9,0.3,2.0,2,1,4,4,6,5,15,250,200,400,4.5,4.0,4.8,0.0,1.55051551,410,0,O5,,
320,34,4160,gHd30,B,5,1Cy,60,120,0.3,0.1,1.0,2,1,4,4,6,5,15,250,200,400,4.8,4.0,4.9,0.0,1.577518993,410,0,O5,,
321,98,10191,kZn30,G,1,1Apg,0,15,6.0,1.0,10.0,20,8,30,15,35,20,60,170,150,180,4.9,4.6,5.5,0.0,1.267537593,340,1,B9,,
321,98,10191,kZn30,G,2,1Cg,15,35,1.8,0.5,5.0,18,8,30,12,30,20,60,170,150,180,4.9,4.6,5.5,0.0,1.445660623,340,0,O10,,
321,98,10191,kZn30,G,3,2Cg,35,120,0.3,0.2,1.5,2,1,4,4,6,4,10,250,200,400,5.0,4.6,5.5,0.0,1.554951708,410,0,O5,,
322,51,8110,zEZ30g,A,1,1Aap,0,25,4.0,3.0,6.0,4,3,6,9,13,9,18,250,200,400,4.6,4.2,5.0,0.0,1.353650968,692,1,B5,,
322,51,8110,zEZ30g,A,2,1Aa,25,60,3.5,2.0,6.0,4,3,6,9,13,9,18,250,200,400,4.3,4.0,4.8,0.0,1.370721368,692,1,B5,,
322,51,8110,zEZ30g,A,3,1Bhb,60,90,1.1,0.3,3.0,3,2,6,7,10,6,18,250,200,400,4.4,4.0,4.8,0.0,1.536297889,410,0,O5,,
322,51,8110,zEZ30g,A,4,1Cu,90,120,0.3,0.1,1.0,3,2,6,5,8,6,18,250,200,400,4.6,4.0,5.0,0.0,1.575031172,410,0,O5,,
323,54,11040,Zn40A,A,1,1Ah,0,25,1.5,0.5,3.0,6,1,8,4,10,3,15,120,100,150,7.4,7.0,7.8,6.0,1.489042511,430,1,B2,,
323,54,11040,Zn40A,A,2,1Cg,25,40,0.8,0.3,2.0,6,1,8,4,10,3,15,120,100,150,7.4,7.0,7.8,6.0,1.595678904,430,0,O2,,
323,54,11040,Zn40A,A,3,1Cu,40,120,0.2,0.1,2.0,6,1,8,4,10,3,15,120,100,150,7.4,7.0,7.8,6.0,1.624292928,430,0,O2,,
324,41,11050,Zn50A,N,1,1Ah,0,5,4.0,0.8,7.0,2,1,6,2,4,2,10,180,150,200,7.0,7.0,7.8,1.0,1.430644095,430,1,B1,,
324,41,11050,Zn50A,N,2,1Cg,5,50,0.2,0.2,1.0,2,1,6,2,4,2,10,180,150,200,7.4,7.0,7.8,1.5,1.674857095,430,0,O1,,
324,41,11050,Zn50A,N,3,1Cg,50,120,0.2,0.2,1.0,2,1,6,2,4,2,10,180,150,200,7.4,7.0,7.8,3.0,1.674857095,430,0,O1,,
325,52,11030,kZn40A,A,1,1Ap,0,30,2.2,1.5,5.0,16,8,25,24,40,30,60,110,100,150,7.4,7.0,7.8,8.0,1.447887854,210,1,B8,,
325,52,11030,kZn40A,A,2,2Cg,30,40,0.8,0.3,2.0,6,1,8,4,10,3,15,120,100,150,7.4,7.0,7.8,7.0,1.595678904,210,0,O2,,
325,52,11030,kZn40A,A,3,2Cg,40,120,0.3,0.1,1.5,6,1,8,4,10,3,15,120,100,150,7.4,7.0,7.8,7.0,1.595678904,210,0,O2,,
326,80,11060,Zn30A,N,1,1Cu,0,120,0.3,0.1,1.0,1,1,4,1,2,2,4,275,200,400,7.4,7.0,7.8,6.0,1.541714483,430,0,O5,,
327,45,8120,EZ50A,A,1,1Aap,0,30,1.5,0.5,4.0,2,2,6,3,5,3,20,200,180,240,7.0,7.0,8.0,2.0,1.514049096,692,1,B1,,
327,45,8120,EZ50A,A,2,1Aa,30,50,1.0,0.5,4.0,2,2,6,3,5,3,20,200,180,240,7.0,7.0,8.0,2.0,1.535436579,692,1,B1,,
327,45,8120,EZ50A,A,3,1Cu,50,120,0.3,0.1,1.0,2,2,6,3,5,3,20,200,180,240,7.0,7.0,8.0,4.0,1.649074985,210,0,O1,,
401,28,13040,MOb75,N,1,1Ahg,0,10,10.0,4.0,20.0,30,12,45,45,75,20,90,80,70,100,7.8,7.5,8.0,9.0,1.030652597,210,1,B10,,
401,28,13040,MOb75,N,2,1Cg,10,35,5.0,2.0,10.0,30,12,45,45,75,20,90,80,70,100,7.8,7.5,8.0,7.0,1.245851177,210,0,O11,,
401,28,13040,MOb75,N,3,1Cri1,35,90,3.0,2.0,10.0,30,12,45,45,75,20,90,80,70,100,7.8,7.5,8.0,7.0,1.315017273,210,0,O11,,
401,28,13040,MOb75,N,4,1Cri3,90,120,1.0,1.0,7.0,12,8,35,18,30,20,70,80,70,100,7.8,7.5,8.0,5.0,1.531933146,210,0,O9,,
402,55,15100,Mv51A,A,1,1Apg,0,25,3.0,2.0,5.0,17,12,25,33,50,30,70,80,70,100,7.0,6.8,7.5,1.8,1.410892373,210,0,O9,,
402,55,15100,Mv51A,A,2,1Cwg,25,40,1.0,0.5,2.0,17,12,25,33,50,30,70,80,70,100,7.3,7.0,7.8,5.0,1.486668302,210,0,O9,,
402,55,15100,Mv51A,A,3,1Cg,40,60,1.0,0.5,2.0,28,12,35,37,65,40,80,80,70,100,7.3,7.0,7.8,4.0,1.395926686,210,0,O11,,
402,55,15100,Mv51A,A,4,2Cw,60,75,45.0,30.0,60.0,45,35,60,35,80,60,95,80,70,100,4.6,4.0,5.0,0.0,0.4,130,0,O17,,
402,55,15100,Mv51A,A,5,2Cu,75,120,85.0,60.0,90.0,45,35,60,35,80,60,95,80,70,100,4.6,4.0,5.0,0.0,0.35,130,0,O17,,
403,89,15120,Mv61C,G,1,1Apg,0,15,10.0,5.0,15.0,23,12,35,37,60,40,80,80,70,100,5.3,5.0,6.5,0.1,1.061082216,210,1,B9,,
